policy,streaming_ratio,agentic_ratio,throughput_rps,throughput_rps_std,throughput_rps_ci95,p95_latency_ms,p95_latency_ms_std,p95_latency_ms_ci95,p99_latency_ms,p99_latency_ms_std,p99_latency_ms_ci95,sla_violation_rate,sla_violation_rate_std,sla_violation_rate_ci95,cost_per_success,cost_per_success_std,cost_per_success_ci95,total_jobs,total_jobs_std,total_jobs_ci95,success_jobs,success_jobs_std,success_jobs_ci95,timeout_jobs,timeout_jobs_std,timeout_jobs_ci95
fifo,0.9,0.1,7.720946961124122,0.42208109606527744,0.3699703929452751,4423.748273448662,586.2413665809153,513.8632143837415,8408.095048909725,1420.3583373580354,1244.9989755385293,0.027539389043399844,0.008513311259124611,0.0074622463340946465,0.0014797887860969745,4.3189374758892385e-05,3.7857156123706005e-05,977.6,31.085366332086227,27.247524951819017,975.4,30.204304329019067,26.4752400555689,2.2,1.7888543819998317,1.5679999999999998
fifo,0.5,0.5,1.0135654576069015,0.05991516120762706,0.0525179543505001,346484.8603515645,26772.727474419557,23467.330321744324,374807.9908473418,28435.473715928285,24924.79166287988,0.49112048453529605,0.012492059363751251,0.010949772815193742,0.007196268005854477,0.0003059640805353808,0.00026818934123813,983.0,32.687918257362305,28.65222364843608,508.4,19.32097306038182,16.935579588546712,474.6,20.95948472649077,18.371798387746363
fifo,0.1,0.9,0.1260700671906258,0.009457286255719035,0.008289676900581189,726153.2141170069,25639.695909513815,22474.184366629703,761728.7895204371,29032.729477400164,25448.30942006085,0.8915550605184521,0.0053637071478670586,0.004701496607260645,0.05075013139162758,0.0034498985371227407,0.003023969396637543,959.4,20.947553556441857,18.361340256092415,112.2,6.572670690061993,5.761199875026034,847.2,21.568495543268657,18.905619905202787
shortest-job-first,0.9,0.1,7.704782051258141,0.4804802282603236,0.421159489276002,3892.1349100113084,299.7273858925671,262.72263735304387,8044.661770961099,1080.9830988994604,947.5234631336881,0.027173808231348583,0.00772136013030561,0.006768070563007031,0.0014810140044542663,4.391357655014678e-05,3.849194698209741e-05,977.6,31.085366332086227,27.247524951819017,974.8,30.07823133098088,26.36473220042259,2.8,2.16794833886788,1.9002905041072007
shortest-job-first,0.5,0.5,1.3726745871731412,0.07773606093527065,0.06813866168929777,341348.48950311186,20313.57369458557,17805.632405641594,430056.879393089,28064.967213799966,24600.028394732963,0.3236984168267491,0.0126775457737654,0.011112358822097804,0.0051470786119394195,0.0002189229041264225,0.00019189438621967315,983.0,32.687918257362305,28.65222364843608,692.8,24.09771773425857,21.122580902910514,290.2,20.583974348992957,18.04264902945241
shortest-job-first,0.1,0.9,0.3798318946611749,0.011995104266387835,0.01051417246644165,725691.3981657384,26432.606624437733,23169.201252023577,814179.2847180376,34919.79482532169,30608.549715987756,0.6699497907942986,0.008267020563638839,0.007246363021060547,0.016405366522748138,0.0003757413103797164,0.00032935177988984614,959.4,20.947553556441857,18.361340256092415,339.2,8.34865258589672,7.317916643417031,620.2,17.640861656959956,15.46289701187976
agentic-priority,0.9,0.1,7.720946961124122,0.42208109606527744,0.3699703929452751,4423.748273448662,586.2413665809153,513.8632143837415,8408.095048909725,1420.3583373580354,1244.9989755385293,0.027539389043399844,0.008513311259124611,0.0074622463340946465,0.0014797887860969745,4.3189374758892385e-05,3.7857156123706005e-05,977.6,31.085366332086227,27.247524951819017,975.4,30.204304329019067,26.4752400555689,2.2,1.7888543819998317,1.5679999999999998
agentic-priority,0.5,0.5,1.0135654576069015,0.05991516120762706,0.0525179543505001,346484.8603515645,26772.727474419557,23467.330321744324,374807.9908473418,28435.473715928285,24924.79166287988,0.49112048453529605,0.012492059363751251,0.010949772815193742,0.007196268005854477,0.0003059640805353808,0.00026818934123813,983.0,32.687918257362305,28.65222364843608,508.4,19.32097306038182,16.935579588546712,474.6,20.95948472649077,18.371798387746363
agentic-priority,0.1,0.9,0.1260700671906258,0.009457286255719035,0.008289676900581189,726153.2141170069,25639.695909513815,22474.184366629703,761728.7895204371,29032.729477400164,25448.30942006085,0.8915550605184521,0.0053637071478670586,0.004701496607260645,0.05075013139162758,0.0034498985371227407,0.003023969396637543,959.4,20.947553556441857,18.361340256092415,112.2,6.572670690061993,5.761199875026034,847.2,21.568495543268657,18.905619905202787
